run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;NMI_rows;AMI_rows;ARI_rows;NMI_cols;AMI_cols;ARI_cols;balance_chierichetti;balance_bera;KL_fairness_error;time
9;10;10;None;0.25970567719375637;0.0314828003256653;0.0011699962413585555;0.4822812338185702;0.4815756291123102;0.3029487963603705;0.8427206325258123;0.8410843763247727;0.8377931527773628;0.21725571725571727;0.7965682751946636;0.024472561334706995;37762.07711148262
5;10;10;None;0.2606394667853549;0.031732796541568686;0.0013591998992517932;0.5183593660016984;0.5177042594288666;0.35391025417274535;0.8240429056568879;0.8222138698361282;0.781062982395057;0.2484980884762425;0.771287108568904;0.025600455502155058;38030.65891098976
3;10;10;None;0.25919525763709467;0.031357832688011185;0.0013664481193533043;0.48444121771185145;0.4837376426570948;0.31653125583101094;0.8255641637057043;0.8237537493325796;0.7761039941903729;0.22188905547226387;0.8104714511840594;0.025183883283664117;44787.857294559486
2;10;10;None;0.2619709256662588;0.03356897817249779;0.0014284482183674716;0.5351227586731794;0.5344901006341825;0.37924780029987026;0.8063665753605456;0.8043509402290198;0.7787564396776027;0.24305555555555555;0.8476976750044082;0.014526614526790452;54611.07515215874
7;10;10;None;0.26126916755200824;0.03299719085420895;0.001371326966775901;0.5310926578793633;0.5304541803720513;0.3769109788153731;0.8329093481530181;0.8311757207296412;0.7909268691035277;0.21708352996696556;0.7960495557908048;0.032458746097894724;37940.43222308159
4;10;10;None;0.260996110940941;0.03284220151143704;0.0012584225555538524;0.5111552491951167;0.5104893465936848;0.3534634781968378;0.8274604697881198;0.8256654786055362;0.7801468773715384;0.2205056179775281;0.8033408717673666;0.026541569704310174;37896.65674996377
1;10;10;None;0.26385346541959587;0.03374102991784222;0.001229447196214948;0.5422074196726362;0.5415876786866981;0.3908518376519528;0.8258006146706799;0.8240134282811435;0.7490243648612381;0.2206703910614525;0.8068248559664429;0.02437902078347629;54658.80179929733
8;10;10;None;0.2607564421352767;0.03163445080222813;0.0013006105474567152;0.5161500802595073;0.5154923031508584;0.3506941268896946;0.8262858651970499;0.8244824876700073;0.7820687896599355;0.22100954979536153;0.7874894546373743;0.025005506995627563;37944.13205337525
6;10;10;None;0.2619422799898334;0.033433244809368774;0.0012532535482633793;0.5089871717524566;0.5083193000680287;0.3462074788623997;0.8030047262857213;0.8009603296705482;0.7622044403256037;0.22159672466734903;0.8066198141011108;0.029671208623801123;37992.514964580536
10;10;10;None;0.2612031781857456;0.032883133689327715;0.001233937232250671;0.4773076737773774;0.4765959002809277;0.3071593221524396;0.7417555205536015;0.7390884368516893;0.6463039057542602;0.2318840579710145;0.8040202106486671;0.024832832621980598;20392.62924909592
