run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;balance_chierichetti;balance_bera;KL_fairness_error;time
6;25;25;3986004.589762126;0.09062922966622343;0.07009831222387111;0.02845241652366493;0.20689655172413793;0.6058680932876369;0.3434063598535618;5045.175394296646
4;25;25;3986684.3323950283;0.09448439021991754;0.07397315735794292;0.026509890078252725;0.2261904761904762;0.6479076686822152;0.2421364681146841;5443.626267671585
5;25;25;3985971.477439224;0.09165776070175355;0.0711747427975239;0.02226604369828607;0.1774193548387097;0.5325552874788588;0.33976478996657233;5139.602991819382
2;25;25;3987252.781490709;0.08771341271071811;0.06701031256874242;0.024104083773391956;0.20512820512820512;0.6015711564558096;0.2990566947574558;5207.2079367637625
10;25;25;3984632.899051752;0.09892175436649514;0.07842770554362531;0.026420111289370128;0.0425531914893617;0.14425430792562782;0.7892840400767266;4937.501156806946
8;25;25;3987266.0167353703;0.0894619506981437;0.06896323316178944;0.022083156687803814;0.2230769230769231;0.6436267375009097;0.28420787393887637;4749.995351076126
3;25;25;3987711.2038322273;0.08089011681422305;0.06000437103521493;0.020288778384083366;0.2127659574468085;0.6196181574314695;0.3030191836905653;5495.473326921463
1;25;25;3988155.6683978667;0.08170378555277352;0.060931068674881475;0.021880898386500026;0.16964285714285715;0.5125983232013721;0.4235895153459196;5176.061762332916
9;25;25;3984776.3311401824;0.09768509401176347;0.07701923090799183;0.0292602011996103;0.14285714285714285;0.44177881802223523;0.5747699479313861;4766.815741300583
7;25;25;3985427.9695030376;0.09326864101089784;0.07262817226779646;0.026030514088298953;0.21212121212121213;0.6033930423681481;0.31900621746451274;5138.98669219017
