run;num_iter;row_clus;col_clus;tau_x;tau_y;NMI;AMI;ARI;balance_chierichetti;balance_bera;KL_fairness_error;time
0;98;4;4;0.06632181173609576;0.06683288869205309;0.06365622380623197;0.06342416563604356;0.08153628179103105;0.22596153846153846;0.3809020436927414;0.5177986486989147;1.899022102355957
1;98;4;4;0.0830724011339255;0.088240165562183;0.10116568166974374;0.10092827439726629;0.1390493336057651;0.18154761904761904;0.39223322577055747;0.5818425170878776;1.926020860671997
2;91;5;5;0.08231335187507276;0.08566848815335905;0.09919159012998871;0.09887650664717428;0.13766585762517122;0.19855595667870035;0.4246987951807229;0.4429271056899911;0.7759809494018555
3;117;6;6;0.0529399491297172;0.05724643821865986;0.05783166751367294;0.057499518811763024;0.06051313475056866;0.17699115044247787;0.38550922761449075;0.4840062929965354;1.1933107376098633
4;105;4;4;0.08339552591271115;0.08675449214744911;0.09253746456342099;0.09228443432527403;0.12422843673966588;0.17770034843205576;0.38682087143625604;0.5047903435851676;0.849754810333252
5;107;4;4;0.0734916972206363;0.0765509529270082;0.07019504315901293;0.06996091966410156;0.09600176469138029;0.1643835616438356;0.3619251336898396;0.5763174818312381;1.1029787063598633
6;61;4;4;0.09582091574746188;0.09444927076938327;0.10609482042538104;0.10582927489196066;0.14455775190691061;0.1536144578313253;0.34137194398291004;0.48954507962023885;0.5623271465301514
7;91;5;5;0.06399340715611565;0.07073898122912155;0.07106634707156978;0.07076575835690628;0.09078693893554841;0.19494584837545126;0.4182367481461137;0.44851035928679545;1.5783464908599854
8;108;4;4;0.0659533848700482;0.06986943138712526;0.07149771553500536;0.07126889925272573;0.09159139819771517;0.20491803278688525;0.3598979013045944;0.5388392485808822;0.9754703044891357
9;48;3;3;0.09109939700660463;0.0936592628239244;0.10706458385086376;0.10689538952591084;0.14263103005047836;0.18507462686567164;0.40036638424547744;0.46882419036450307;0.48223423957824707
10;64;4;4;0.07556466153746039;0.07710298528241458;0.0877092459508909;0.08747239354502394;0.11627682856760402;0.22142857142857142;0.3232885686210285;0.6679006220826221;0.6696527004241943
11;108;4;4;0.09015102134853131;0.09032756309897697;0.09448172022948559;0.09423348424862597;0.13270405675937605;0.18461538461538463;0.3659047809162591;0.5062707361197402;0.8792595863342285
12;59;3;3;0.08231650903952482;0.08660268206812738;0.10034969482794062;0.10018168982639453;0.13375382140416395;0.18339100346020762;0.39728867623604464;0.477362488796406;0.5553348064422607
13;105;4;4;0.07535398572197788;0.07737147999458815;0.07225751217806547;0.07200272323405936;0.09168788429886789;0;0.0;inf;2.1298367977142334
14;118;5;5;0.060231071480389;0.06423740616601357;0.05681458522293198;0.05652442125108199;0.06913126262291755;0.18181818181818182;0.3944055944055944;0.5676687315770215;1.3436155319213867
15;96;5;5;0.06685976735909274;0.07686493269816684;0.07765647088219556;0.0773632005200641;0.09490248454625856;0.16286644951140064;0.35905271199388844;0.6962114956764428;0.9656572341918945
16;57;5;5;0.06494680034157131;0.06485949029876846;0.06548198263985824;0.06517783788072123;0.08755942236497695;0.16666666666666666;0.3662337662337662;0.5860961091960357;0.5624573230743408
17;66;5;5;0.07219602739432997;0.08302327644047446;0.0887282079220368;0.0884373012480934;0.11243306734050823;0.14935064935064934;0.33312788906009244;0.6836486327057893;1.2866151332855225
18;500;5;5;0.08818078803581704;0.09119229851604417;0.102119178086142;0.10179897491403529;0.14338424468382716;0.19571865443425077;0.40007789028596863;0.6195751981208881;4.7396790981292725
19;56;4;4;0.0739314017925184;0.07547267127430753;0.08019265643090977;0.07994631560809576;0.10538689084502417;0.2389937106918239;0.4285921065328573;0.4492498191068125;0.5306544303894043
20;78;5;5;0.06942198895666261;0.07913063938968026;0.09071481697385075;0.0904208469189417;0.11033125048566053;0.17123287671232876;0.3748006379585327;0.5818622921209555;0.7557296752929688
21;70;4;4;0.08520155695909387;0.09175868009138174;0.09637043487126204;0.09613011196312118;0.1313958649709478;0.18575851393188855;0.4016140517446001;0.5061742604989872;0.7251801490783691
22;102;3;3;0.08576876762177785;0.08955232952110426;0.08833510497373437;0.08816270712855773;0.12012769272500007;0.19879518072289157;0.30934620447564726;0.5726535605468013;2.199169635772705
23;130;6;6;0.05958614078295986;0.07063245992667272;0.06803043503983533;0.06768165212472343;0.07639651711734757;0.1781818181818182;0.3877104377104377;0.719566846360023;2.3030507564544678
24;93;3;3;0.07393364810723592;0.07470886584385503;0.07077035962199345;0.07060243011909693;0.08451786773409922;0.18506493506493507;0.4003486924034869;0.4210699331694036;0.8812954425811768
25;51;4;4;0.08401028607447536;0.08880593725528965;0.09644480780746166;0.09619760922889618;0.1290832906931214;0.19607843137254902;0.3765438967397352;0.4794438577473943;0.5077295303344727
26;92;5;5;0.061667451629673666;0.06768601130265754;0.07701599655185082;0.07672345253197266;0.09224141928033083;0.17407407407407408;0.38009750501864065;0.5143943445580134;0.9856548309326172
27;94;5;5;0.06933456709677974;0.08002017421670347;0.08449011657093423;0.08420082458413859;0.10592995161652642;0.13398692810457516;0.30290804296567986;0.718030101733673;0.9382495880126953
28;53;4;4;0.08312633374433374;0.08719572684041565;0.08928198770522942;0.08902759895141636;0.12122905948583039;0.2375;0.4136441220396842;0.39027729208121376;0.76857590675354
29;70;4;4;0.07559943731175439;0.08095848921757524;0.08130947566155651;0.08107466247925976;0.11401545227039044;0.24742268041237114;0.3843885612551463;0.43713148481774095;0.7226252555847168
